"Name","Party","Early.Voting","Election.Day","Mail.In.Ballot","Provisional","Total","Percentage"
"Nikki R. Haley","Republican","9,344","27,457","24,763","3,028","22,000","22.66%"
"Donald J. Trump","Republican","40,088","131,189","42,685","6,531","220,493","77.34%"
"Totals","","49,432","158,646","67,448","9,559","285,085","100.00%"
