Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Gregory Thomas Coll,Republican,"55,383","28,949","40,380","2,445",127157,31.6%
Jamie  Raskin,Democratic,"55,452","15,546","195,598","8,120",274716,68.2%
Lih  Young (Write In),Democratic,5,6,16,0,27,0.0%
Other Write-Ins,,213,108,360,33,714,0.2%
