Question 1,Early Voting,Election Day,Absentee,Provisional,Total,Percentage
For the Constitutional Amendment,"617,260","267,010","1,072,155","77,180",2033605,74.7%
Against the Constitutional Amendment,"277,849","124,642","267,448","20,036",689975,25.3%
