Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Neil C. Parrott,Republican,"55,826","45,839","38,443","3,491",143599,39.2%
David J. Trone,Democratic,"48,442","21,593","138,241","7,264",215540,58.8%
George  Gluck,Green,"1,547","1,283","3,789",274,6893,1.9%
Jason  Herrick (Write In),Unaffiliated,13,14,18,1,46,0.0%
Other Write-Ins,,89,68,184,15,356,0.1%
