"Candidate","Votes","Percent..Pct..","Chart.showing.percent","Delegates.Delegates.Del."
"Donald J. TrumpD. TrumpTrump  Winner","220,493","+77.3% 77.3%","","37"
"Nikki HaleyN. HaleyHaley","64,592","+22.7% 22.7%","","No delegates—"
"Total reported","285,085","","",""
