Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Charles  Anthony,Republican,"49,153","21,657","37,904","3,403",112117,30.0%
John  Sarbanes,Democratic,"61,254","19,385","170,036","9,683",260358,69.8%
Other Write-Ins,,207,101,385,38,731,0.2%
