Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Andy  Harris,Republican,"122,530","71,249","52,099","5,023",250901,63.4%
Mia  Mason,Democratic,"44,772","18,689","75,414","5,002",143877,36.4%
Other Write-Ins,,255,172,298,21,746,0.2%
