"Name","Party","Early.Voting","Election.Day","Mail.In.Ballot","Provisional","Total","Percentage"
"Joe Biden","Democratic","88,062","216,476","256,833","30,152","591523","87.14%"
"Dean Phillips","Democratic","1,027","3,911","2,808","442","8188","1.21%"
"Marianne Williamson","Democratic","1,295","6,426","4,301","913","12935","1.91%"
"Uncommitted","Democratic","7,667","32,762","21,823","3,916","66168","9.75%"
"Totals","","98,051","259,575","285,765","35,423","678814","100.00%"
