Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
George E. McDermott,Republican,"34,667","12,189","22,678","2,137",71671,20.2%
Anthony G. Brown,Democratic,"79,929","23,801","163,848","14,541",282119,79.6%
Other Write-Ins,,228,98,369,44,739,0.2%
