Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Johnny Ray Salling,Republican,"49,856","25,498","28,221","2,780",106355,32.0%
C.A. Dutch Ruppersberger,Democratic,"65,573","24,830","125,197","9,236",224836,67.7%
Other Write-Ins,,265,166,361,43,835,0.3%
